Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Antall minutter nedbør siste time;Høyeste middelvind (1 t)
Strømtangen Fyr;SN17000;10.01.2024 13:00;0;-4,3;0;4,4
Strømtangen Fyr;SN17000;10.01.2024 14:00;0;-4,7;1;2,7
Strømtangen Fyr;SN17000;10.01.2024 15:00;0;-5,6;1;2,6
Strømtangen Fyr;SN17000;10.01.2024 16:00;0;-5,9;0;2,9
Strømtangen Fyr;SN17000;10.01.2024 17:00;0;-5;0;2
Strømtangen Fyr;SN17000;10.01.2024 18:00;0;-6;0;3,3
Strømtangen Fyr;SN17000;10.01.2024 19:00;0;-4,7;0;3,7
Strømtangen Fyr;SN17000;10.01.2024 20:00;0;-5,4;0;3,1
Strømtangen Fyr;SN17000;10.01.2024 21:00;0;-5,6;0;2,8
Strømtangen Fyr;SN17000;10.01.2024 22:00;0;-5,9;0;2,7
Strømtangen Fyr;SN17000;10.01.2024 23:00;0;-5,1;0;2,2
Strømtangen Fyr;SN17000;11.01.2024 00:00;0;-2,5;0;5,8
Strømtangen Fyr;SN17000;11.01.2024 01:00;0;-2,8;0;4,7
Strømtangen Fyr;SN17000;11.01.2024 02:00;0;-3,8;0;2,8
Strømtangen Fyr;SN17000;11.01.2024 03:00;0;-2,1;0;2,3
Strømtangen Fyr;SN17000;11.01.2024 04:00;0;-1,5;0;5,6
Strømtangen Fyr;SN17000;11.01.2024 05:00;0;-1,2;0;6,3
Strømtangen Fyr;SN17000;11.01.2024 06:00;0;-0,8;1;3,7
Strømtangen Fyr;SN17000;11.01.2024 07:00;0;-0,6;0;3,1
Strømtangen Fyr;SN17000;11.01.2024 08:00;0;0,9;0;5,2
Strømtangen Fyr;SN17000;11.01.2024 09:00;0;0,9;0;4,7
Strømtangen Fyr;SN17000;11.01.2024 10:00;0;0,9;0;3
Strømtangen Fyr;SN17000;11.01.2024 11:00;0;0,3;0;2,1
Strømtangen Fyr;SN17000;11.01.2024 12:00;0;1,4;0;3,4
Strømtangen Fyr;SN17000;11.01.2024 13:00;0;1,4;0;3,6
Strømtangen Fyr;SN17000;11.01.2024 14:00;0;1,7;0;4,4
